Seed,Method,Steps,Relative L2,PDE residual norm,BC error,IC error,wall time,solver steps,action norm,return,paired improvement,Case
42,Gradient residual refinement,1,0.23430149257183075,45.748958587646484,0.0,0.0,0.002917699981480837,1,0.011324329301714897,-0.019216779619455338,-0.00445951521396637,18
42,PINN-style refinement,1,0.2296006679534912,14.110639572143555,0.0,0.0,0.008875599829480052,1,0.0005918253445997834,0.0010503970552235842,0.00024130940437316895,18
42,Supervised Neural Operator Corrector,1,0.21939973533153534,16.10382080078125,0.0,0.0,0.003528800094500184,1,0.007748932112008333,0.04649659991264343,0.01044224202632904,18
42,TD3 from scratch,1,0.22779612243175507,35.116966247558594,0.0,0.0,0.005004700040444732,1,0.016504045575857162,0.008940882049500942,0.002045854926109314,18
42,TD3+BC without physics regularization,1,0.2517651617527008,31.892587661743164,0.0,0.0,0.005591999972239137,1,0.021053610369563103,-0.0911049023270607,-0.021923184394836426,18
42,RL Neural Operator Solver,1,0.21939973533153534,16.10382080078125,0.0,0.0,0.004839699948206544,1,0.007748932112008333,0.04649659991264343,0.01044224202632904,18
42,Base FNO Initializer,1,0.2865229547023773,527.154296875,0.0,0.0,1.00000761449337e-06,0,0.0,0.0,0.0,19
42,Gradient residual refinement,1,0.28548094630241394,496.3068542480469,0.0,0.0,0.0036455001682043076,1,0.009423308074474335,0.0036433793138712645,0.001042008399963379,19
42,PINN-style refinement,1,0.2864352762699127,524.135009765625,0.0,0.0,0.007659499999135733,1,0.0005966872558929026,0.00030608242377638817,8.767843246459961e-05,19
42,Supervised Neural Operator Corrector,1,0.28362804651260376,478.6676940917969,0.0,0.0,0.0031349000055342913,1,0.008466214872896671,0.010154927149415016,0.0028949081897735596,19
42,TD3 from scratch,1,0.2838287055492401,541.2407836914062,0.0,0.0,0.005023700185120106,1,0.018085915595293045,0.009447582066059113,0.002694249153137207,19
