Seed,Case,Step,Horizon,GreedyImmediateReward,GreedyFinalError,LongHorizonReturn,LongHorizonFinalError,AbsoluteOracleGain,RelativeOracleGain,GreedyActionShift,LongActionShift,ActionsDifferent
42,10,7,20,-0.00026551506016403437,0.3907240927219391,-0.01850246824324131,0.39066141843795776,6.267428398132324e-05,0.00016040547575325932,0.4999999701976776,0.5,True
42,10,8,20,-0.0003767159359995276,0.3906646966934204,-0.01760091818869114,0.390465646982193,0.000199049711227417,0.0005095154819776921,0.5,0.5,True
42,10,9,20,-0.0006683928659185767,0.3906495273113251,-0.017397867515683174,0.3906495273113251,0.0,0.0,0.4999999701976776,0.4999999701976776,False
42,10,10,20,-0.0008447765721939504,0.39063137769699097,-0.016408422961831093,0.39062270522117615,8.672475814819336e-06,2.2201175609468048e-05,0.4999999701976776,0.25,True
42,10,11,20,-0.0007743705064058304,0.39050427079200745,-0.014959525316953659,0.39050427079200745,0.0,0.0,0.4999999701976776,0.4999999701976776,False
42,10,12,20,-0.0011423330288380384,0.39059534668922424,-0.013794663362205029,0.39056992530822754,2.54213809967041e-05,6.5083676014529e-05,0.4999999701976776,0.5,True
42,10,13,20,-0.0010486316168680787,0.3904460668563843,-0.011979049071669579,0.3904460668563843,0.0,0.0,0.5,0.5,False
42,10,14,20,-0.001237254124134779,0.3904750347137451,-0.01043425127863884,0.3904750347137451,0.0,0.0,0.5,0.5,False
42,10,15,20,-0.001364830881357193,0.3905528783798218,-0.008817847818136215,0.3905181586742401,3.471970558166504e-05,8.889885980535346e-05,0.5,0.48500654101371765,True
42,10,16,20,-0.0014191123191267252,0.39049220085144043,-0.006960770580917597,0.39049220085144043,0.0,0.0,0.47537508606910706,0.47537508606910706,False
42,10,17,20,-0.0014975869562476873,0.39056017994880676,-0.005243322812020779,0.3905456066131592,1.4573335647583008e-05,3.7313931106579344e-05,0.49578261375427246,0.49415504932403564,True
42,10,18,20,-0.0016031936975196004,0.3905929923057556,-0.0034840917214751244,0.3905929923057556,0.0,0.0,0.46832048892974854,0.46832048892974854,False
42,10,19,20,-0.0014460055390372872,0.3905450999736786,-0.0014460055390372872,0.3905450999736786,0.0,0.0,0.497099369764328,0.497099369764328,False
42,11,0,20,0.000809658202342689,0.5782261490821838,0.007671278435736895,0.5780892968177795,0.00013685226440429688,0.0002366760213482596,1.366487979888916,1.3371249437332153,True
