Seed,Policy,state,latent_policy_shift,correction_policy_shift
2026,Rollout-Verified RL Neural Operator Solver,2,0.015649152919650078,0.018565701320767403
2026,Rollout-Verified RL Neural Operator Solver,3,0.01565513201057911,0.01864406280219555
2026,Rollout-Verified RL Neural Operator Solver,4,0.015664199367165565,0.01841265708208084
2026,Rollout-Verified RL Neural Operator Solver,5,0.0156465582549572,0.017135269939899445
2026,Rollout-Verified RL Neural Operator Solver,6,0.015652688220143318,0.018604271113872528
2026,Rollout-Verified RL Neural Operator Solver,7,0.015662729740142822,0.018915465101599693
2026,Rollout-Verified RL Neural Operator Solver,8,0.015681328251957893,0.01911795884370804
2026,Rollout-Verified RL Neural Operator Solver,9,0.015696804970502853,0.01889145001769066
2026,Rollout-Verified RL Neural Operator Solver,10,0.014462620951235294,0.009088699705898762
2026,Rollout-Verified RL Neural Operator Solver,11,0.014450901187956333,0.009135758504271507
2026,Rollout-Verified RL Neural Operator Solver,12,0.014449706301093102,0.009115985594689846
2026,Rollout-Verified RL Neural Operator Solver,13,0.014458980411291122,0.008999070152640343
2026,Rollout-Verified RL Neural Operator Solver,14,0.014478348195552826,0.008829950354993343
2026,Rollout-Verified RL Neural Operator Solver,15,0.014799240045249462,0.00910510029643774
2026,Rollout-Verified RL Neural Operator Solver,16,0.01479330100119114,0.009214685298502445
2026,Rollout-Verified RL Neural Operator Solver,17,0.01479585561901331,0.009150681085884571
2026,Rollout-Verified RL Neural Operator Solver,18,0.014806770719587803,0.008903073146939278
2026,Rollout-Verified RL Neural Operator Solver,19,0.014825545251369476,0.008540131151676178
2026,Rollout-Verified RL Neural Operator Solver,20,0.01616547629237175,0.01780855469405651
2026,Rollout-Verified RL Neural Operator Solver,21,0.01616678200662136,0.018397843465209007
2026,Rollout-Verified RL Neural Operator Solver,22,0.016169501468539238,0.01881479285657406
2026,Rollout-Verified RL Neural Operator Solver,23,0.0161735862493515,0.019095422700047493
2026,Rollout-Verified RL Neural Operator Solver,24,0.01617898978292942,0.01922881044447422
2026,Rollout-Verified RL Neural Operator Solver,25,0.01616547629237175,0.01780855469405651
2026,Rollout-Verified RL Neural Operator Solver,26,0.01617528684437275,0.01861082948744297
2026,Rollout-Verified RL Neural Operator Solver,27,0.01619013398885727,0.01879715919494629
2026,Rollout-Verified RL Neural Operator Solver,28,0.01620561070740223,0.019166182726621628
2026,Rollout-Verified RL Neural Operator Solver,29,0.016222408041357994,0.019091947004199028
2026,Rollout-Verified RL Neural Operator Solver,30,0.014760412275791168,0.009339016862213612
2026,Rollout-Verified RL Neural Operator Solver,31,0.01475389301776886,0.009370991960167885
2026,Rollout-Verified RL Neural Operator Solver,32,0.014756125397980213,0.009233958087861538
2026,Rollout-Verified RL Neural Operator Solver,33,0.01476684957742691,0.008952893316745758
2026,Rollout-Verified RL Neural Operator Solver,34,0.014785805717110634,0.008572349324822426
2026,Rollout-Verified RL Neural Operator Solver,35,0.014154398813843727,0.001984385075047612
2026,Rollout-Verified RL Neural Operator Solver,36,0.014133818447589874,0.001960272900760174
2026,Rollout-Verified RL Neural Operator Solver,37,0.014125247485935688,0.001935465494170785
2026,Rollout-Verified RL Neural Operator Solver,38,0.014128641225397587,0.001919324160553515
2026,Rollout-Verified RL Neural Operator Solver,39,0.014143699780106544,0.0019142344826832414
2026,Rollout-Verified RL Neural Operator Solver,40,0.014535619877278805,0.009692477062344551
2026,Rollout-Verified RL Neural Operator Solver,41,0.014525339938700199,0.009975542314350605
2026,Rollout-Verified RL Neural Operator Solver,42,0.014525209553539753,0.010080961510539055
2026,Rollout-Verified RL Neural Operator Solver,43,0.014535197988152504,0.009997120127081871
2026,Rollout-Verified RL Neural Operator Solver,44,0.014554849825799465,0.009740876965224743
2026,Rollout-Verified RL Neural Operator Solver,45,0.015839550644159317,0.018419206142425537
2026,Rollout-Verified RL Neural Operator Solver,46,0.015839705243706703,0.01929786242544651
2026,Rollout-Verified RL Neural Operator Solver,47,0.01584225706756115,0.019766107201576233
2026,Rollout-Verified RL Neural Operator Solver,48,0.0158472191542387,0.019887326285243034
