variant,state,candidate,q,return,horizon,pearson,spearman,pairwise,top1,Seed
full_cycle0,12,supervised,-0.17774111032485962,0.00047856099627097137,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,actor,-0.17774111032485962,0.00047856099627097137,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,zero,-0.03576236963272095,0.0012450387002900243,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,random,-0.13014212250709534,0.0003889501458615996,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,shuffled,0.07316798716783524,0.0016059955669334158,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,perturb_0.25sigma,-0.17181134223937988,0.0004534188992693089,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,perturb_0.5sigma,-0.21075525879859924,0.0007313913120015059,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,perturb_1sigma,-0.1916210651397705,0.0005115621861477848,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,12,perturb_2sigma,-0.22035831212997437,0.0006654998360318132,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,supervised,-0.20064911246299744,0.0004518736277532298,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,actor,-0.20064911246299744,0.0004518736277532298,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,zero,-0.0533331036567688,0.0010550855367910117,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,random,-0.08853769302368164,0.0007645530276931822,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,shuffled,0.09610549360513687,0.0014486598374787718,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,perturb_0.25sigma,-0.17932921648025513,0.00037811935908393934,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,perturb_0.5sigma,-0.20232588052749634,0.00040015381819102913,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,perturb_1sigma,-0.20868012309074402,0.00041862392754410394,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,13,perturb_2sigma,-0.22641685605049133,0.0006058093495084904,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
