Case,SolverStep,LatentDistance,CorrectionDifference,NextErrorDifference
802,0,0.9999999403953552,0.0982087180018425,0.008476942777633667
802,0,3.000000238418579,0.3137778341770172,0.05333209037780762
802,0,3.000000238418579,0.3137778341770172,0.05641557276248932
802,0,0.9999999403953552,0.11627041548490524,0.005322322249412537
802,0,0.9999999403953552,0.11627042293548584,0.012021943926811218
802,0,3.0,0.31673017144203186,0.027493581175804138
802,0,3.0,0.31673017144203186,0.08051498234272003
802,0,0.9999999403953552,0.12636779248714447,0.012755528092384338
802,0,0.9999999403953552,0.12636779248714447,0.007671639323234558
802,0,3.000000238418579,0.29107362031936646,0.034857094287872314
802,0,3.000000238418579,0.29107362031936646,0.06061553955078125
802,0,1.0,0.10624058544635773,0.002414897084236145
802,0,1.0,0.10624058544635773,0.01204332709312439
802,0,3.0,0.22050467133522034,0.028529465198516846
802,0,3.0,0.22050465643405914,0.030046388506889343
802,0,1.0,0.07719460874795914,0.00473514199256897
802,0,1.0,0.07719460874795914,0.0030643343925476074
802,0,2.999999761581421,0.3291543424129486,0.0628858208656311
802,0,2.999999761581421,0.3291543424129486,0.056207671761512756
802,0,1.0,0.09414635598659515,0.0018113106489181519
802,0,1.0,0.09414635598659515,0.00962112843990326
802,0,3.0,0.28379926085472107,0.04838237166404724
919,0,1.0,0.08835697174072266,0.0032042711973190308
919,0,1.0,0.08835697174072266,0.00989215075969696
919,0,3.000000238418579,0.3551875352859497,0.09655305743217468
919,0,3.000000238418579,0.3551875352859497,0.07130731642246246
919,0,1.0,0.08725494146347046,0.007054463028907776
919,0,1.0,0.08725494891405106,0.005793735384941101
919,0,3.0,0.27193930745124817,0.06736016273498535
919,0,3.0,0.27193930745124817,0.03922702372074127
919,0,1.0,0.08760552853345871,0.006484225392341614
919,0,1.0,0.0876055359840393,0.006467878818511963
919,0,3.000000238418579,0.31125757098197937,0.060024768114089966
919,0,3.000000238418579,0.31125757098197937,0.07515059411525726
919,0,1.0,0.11573150753974915,0.00790742039680481
919,0,1.0,0.11573150753974915,0.014281079173088074
919,0,3.0,0.2932448983192444,0.043348997831344604
919,0,3.0,0.2932448983192444,0.07766871154308319
919,0,0.9999999403953552,0.07710761576890945,0.01185654103755951
919,0,0.9999999403953552,0.07710761576890945,-0.0020992308855056763
919,0,2.999999761581421,0.2835582196712494,0.05856756865978241
919,0,2.999999761581421,0.2835582196712494,0.057050853967666626
919,0,1.0,0.09656369686126709,0.0070476233959198
919,0,1.0,0.09656369686126709,0.00861288607120514
919,0,3.0,0.2422146201133728,0.05559372901916504
919,0,3.0,0.2422146201133728,0.03151288628578186
919,0,1.0,0.0948697030544281,0.010975629091262817
919,0,1.0,0.0948697030544281,0.0040795207023620605
919,0,3.0,0.291551411151886,0.053878337144851685
919,0,3.0,0.291551411151886,0.06715542078018188
919,0,1.0,0.08918558806180954,0.006179690361022949
919,0,1.0,0.08918558806180954,0.007231533527374268
919,0,3.0,0.27498430013656616,0.059682995080947876
