Case,Horizon,GreedyFinalError,LongFinalError,AbsoluteOracleGain,RelativeOracleGain,ActionsDifferent
986,10,0.12837353348731995,0.12837353348731995,0.0,0.0,False
986,20,0.12837353348731995,0.12807056307792664,0.00030297040939331055,0.0023600690980686945,True
905,5,0.1216655895113945,0.1216655895113945,0.0,0.0,False
905,10,0.1216655895113945,0.1216655895113945,0.0,0.0,False
905,20,0.1216655895113945,0.1197395920753479,0.0019259974360466003,0.015830256063208592,True
917,5,0.13615599274635315,0.13615599274635315,0.0,0.0,False
917,10,0.13753822445869446,0.13753822445869446,0.0,0.0,False
917,20,0.13981324434280396,0.1375497728586197,0.002263471484184265,0.016189249414987655,True
873,5,0.13697457313537598,0.13697457313537598,0.0,0.0,False
873,10,0.13749881088733673,0.13749881088733673,0.0,0.0,False
873,20,0.13859616219997406,0.13751503825187683,0.001081123948097229,0.007800533080687506,True
950,5,0.1408095806837082,0.1408095806837082,0.0,0.0,False
950,10,0.14146913588047028,0.14146913588047028,0.0,0.0,False
950,20,0.14302551746368408,0.14302551746368408,0.0,0.0,False
850,5,0.12844283878803253,0.12844283878803253,0.0,0.0,False
850,10,0.12844283878803253,0.12844283878803253,0.0,0.0,False
850,20,0.12844283878803253,0.12844283878803253,0.0,0.0,False
868,5,0.11582893878221512,0.11582893878221512,0.0,0.0,False
868,10,0.11582893878221512,0.11443343013525009,0.0013955086469650269,0.012048013748868942,True
868,20,0.11582893878221512,0.1145457774400711,0.0012831613421440125,0.011078072160849623,True
928,5,0.1381816267967224,0.1381816267967224,0.0,0.0,False
928,10,0.13896992802619934,0.13896992802619934,0.0,0.0,False
928,20,0.1406073272228241,0.1399783194065094,0.0006290078163146973,0.00447350667094249,True
889,5,0.1314532309770584,0.13125649094581604,0.0001967400312423706,0.0014966542075843402,True
889,10,0.1314532309770584,0.13000598549842834,0.001447245478630066,0.011009584685542216,True
889,20,0.1314532309770584,0.12957553565502167,0.0018776953220367432,0.014284132144035653,True
960,5,0.1429632604122162,0.1429632604122162,0.0,0.0,False
960,10,0.1428191214799881,0.1428191214799881,0.0,0.0,False
960,20,0.14357627928256989,0.1432752013206482,0.0003010779619216919,0.0020969895823052063,True
811,5,0.1415262222290039,0.1415262222290039,0.0,0.0,False
811,10,0.14201024174690247,0.14201024174690247,0.0,0.0,False
811,20,0.14324970543384552,0.14278292655944824,0.00046677887439727783,0.003258497970265231,True
944,5,0.13482066988945007,0.13482066988945007,0.0,0.0,False
944,10,0.13573840260505676,0.13464738428592682,0.0010910183191299438,0.008037654032988445,True
