Horizon,Case,SolverStep,Stage,ActionsDifferent,ImmediateGain,GreedyFinalError,LongFinalError,TrajectoryGain
5,914,4,Early,False,0.0,0.14024005830287933,0.14024005830287933,0.0
5,937,0,Early,False,0.0,0.1256861835718155,0.1256861835718155,0.0
5,937,1,Early,False,0.0,0.1256861835718155,0.1256861835718155,0.0
5,937,2,Early,False,0.0,0.1256861835718155,0.1256861835718155,0.0
5,937,3,Early,False,0.0,0.1256861835718155,0.1256861835718155,0.0
5,937,4,Early,False,0.0,0.1256861835718155,0.1256861835718155,0.0
5,810,0,Early,True,-0.02470121718943119,0.1327073574066162,0.13481169939041138,-0.002104341983795166
5,810,1,Early,False,0.0,0.1327073574066162,0.13481169939041138,-0.002104341983795166
5,810,2,Early,False,0.0,0.1327073574066162,0.13481169939041138,-0.002104341983795166
5,810,3,Early,False,0.0,0.1327073574066162,0.13481169939041138,-0.002104341983795166
5,810,4,Early,False,0.0,0.1327073574066162,0.13481169939041138,-0.002104341983795166
5,912,0,Early,False,0.0,0.1367245316505432,0.1374257504940033,-0.000701218843460083
5,912,1,Early,False,0.0,0.1367245316505432,0.1374257504940033,-0.000701218843460083
5,912,2,Early,True,-0.001340652583166957,0.1367245316505432,0.1374257504940033,-0.000701218843460083
5,912,3,Early,False,0.0,0.1367245316505432,0.1374257504940033,-0.000701218843460083
5,912,4,Early,False,0.0,0.1367245316505432,0.1374257504940033,-0.000701218843460083
5,886,0,Early,False,0.0,0.13819780945777893,0.13819780945777893,0.0
5,886,1,Early,False,0.0,0.13819780945777893,0.13819780945777893,0.0
5,886,2,Early,False,0.0,0.13819780945777893,0.13819780945777893,0.0
5,886,3,Early,False,0.0,0.13819780945777893,0.13819780945777893,0.0
5,886,4,Early,False,0.0,0.13819780945777893,0.13819780945777893,0.0
5,887,0,Early,True,-0.0031518498435616493,0.1402433067560196,0.13822227716445923,0.0020210295915603638
5,887,1,Early,True,-0.01206161454319954,0.1402433067560196,0.13822227716445923,0.0020210295915603638
5,887,2,Early,False,0.0,0.1402433067560196,0.13822227716445923,0.0020210295915603638
5,887,3,Early,False,0.0,0.1402433067560196,0.13822227716445923,0.0020210295915603638
5,887,4,Early,False,0.0,0.1402433067560196,0.13822227716445923,0.0020210295915603638
5,833,0,Early,False,0.0,0.1397155225276947,0.13924795389175415,0.00046756863594055176
5,833,1,Early,True,-0.0007796995341777802,0.1397155225276947,0.13924795389175415,0.00046756863594055176
5,833,2,Early,False,0.0,0.1397155225276947,0.13924795389175415,0.00046756863594055176
5,833,3,Early,False,0.0,0.1397155225276947,0.13924795389175415,0.00046756863594055176
5,833,4,Early,False,0.0,0.1397155225276947,0.13924795389175415,0.00046756863594055176
5,822,0,Early,False,0.0,0.13867896795272827,0.13867896795272827,0.0
5,822,1,Early,False,0.0,0.13867896795272827,0.13867896795272827,0.0
5,822,2,Early,False,0.0,0.13867896795272827,0.13867896795272827,0.0
5,822,3,Early,False,0.0,0.13867896795272827,0.13867896795272827,0.0
5,822,4,Early,False,0.0,0.13867896795272827,0.13867896795272827,0.0
5,963,0,Early,False,0.0,0.13288936018943787,0.13288936018943787,0.0
5,963,1,Early,False,0.0,0.13288936018943787,0.13288936018943787,0.0
5,963,2,Early,False,0.0,0.13288936018943787,0.13288936018943787,0.0
5,963,3,Early,False,0.0,0.13288936018943787,0.13288936018943787,0.0
5,963,4,Early,False,0.0,0.13288936018943787,0.13288936018943787,0.0
5,809,0,Early,False,0.0,0.12885992228984833,0.1271059513092041,0.001753970980644226
5,809,1,Early,False,0.0,0.12885992228984833,0.1271059513092041,0.001753970980644226
5,809,2,Early,False,0.0,0.12885992228984833,0.1271059513092041,0.001753970980644226
5,809,3,Early,True,-0.0010650800541043282,0.12885992228984833,0.1271059513092041,0.001753970980644226
5,809,4,Early,False,0.0,0.12885992228984833,0.1271059513092041,0.001753970980644226
5,819,0,Early,False,0.0,0.13543282449245453,0.13448308408260345,0.0009497404098510742
5,819,1,Early,False,0.0,0.13543282449245453,0.13448308408260345,0.0009497404098510742
5,819,2,Early,True,-0.006553848274052143,0.13543282449245453,0.13448308408260345,0.0009497404098510742
5,819,3,Early,True,-0.0027152681723237038,0.13543282449245453,0.13448308408260345,0.0009497404098510742
5,819,4,Early,False,0.0,0.13543282449245453,0.13448308408260345,0.0009497404098510742
