Case,Method,PhysicalStep,Q,RemainingBudget,SelectedPatches,FrameError
273,CoarseOnly,7,0,32,[],0.9330883622169495
273,CoarseOnly,8,0,32,[],0.9836047887802124
273,CoarseOnly,9,0,32,[],0.980050802230835
273,CoarseOnly,10,0,32,[],0.9734827876091003
273,CoarseOnly,11,0,32,[],1.0310876369476318
273,CoarseOnly,12,0,32,[],1.1076314449310303
273,CoarseOnly,13,0,32,[],1.1090574264526367
273,CoarseOnly,14,0,32,[],1.0575108528137207
273,CoarseOnly,15,0,32,[],1.0586382150650024
273,CoarseOnly,16,0,32,[],1.0416115522384644
274,CoarseOnly,0,0,32,[],0.07751662284135818
274,CoarseOnly,1,0,32,[],0.10899680852890015
274,CoarseOnly,2,0,32,[],0.13316871225833893
274,CoarseOnly,3,0,32,[],0.16101574897766113
274,CoarseOnly,4,0,32,[],0.25385352969169617
274,CoarseOnly,5,0,32,[],0.5476533770561218
274,CoarseOnly,6,0,32,[],0.8820760846138
274,CoarseOnly,7,0,32,[],1.0132261514663696
274,CoarseOnly,8,0,32,[],0.9713969826698303
274,CoarseOnly,9,0,32,[],0.9322041273117065
274,CoarseOnly,10,0,32,[],0.896273136138916
274,CoarseOnly,11,0,32,[],0.9136468172073364
274,CoarseOnly,12,0,32,[],0.915436863899231
274,CoarseOnly,13,0,32,[],0.9275995492935181
274,CoarseOnly,14,0,32,[],1.0731418132781982
274,CoarseOnly,15,0,32,[],1.1427271366119385
274,CoarseOnly,16,0,32,[],1.117357850074768
275,CoarseOnly,0,0,32,[],0.07752619683742523
275,CoarseOnly,1,0,32,[],0.10906711220741272
275,CoarseOnly,2,0,32,[],0.13382486999034882
275,CoarseOnly,3,0,32,[],0.16673699021339417
275,CoarseOnly,4,0,32,[],0.2878265678882599
275,CoarseOnly,5,0,32,[],0.6261400580406189
275,CoarseOnly,6,0,32,[],0.9553916454315186
275,CoarseOnly,7,0,32,[],1.0793027877807617
275,CoarseOnly,8,0,32,[],1.0266757011413574
275,CoarseOnly,9,0,32,[],0.9496521949768066
275,CoarseOnly,10,0,32,[],0.8656789660453796
275,CoarseOnly,11,0,32,[],0.8217662572860718
275,CoarseOnly,12,0,32,[],0.8888854384422302
275,CoarseOnly,13,0,32,[],0.8628395795822144
275,CoarseOnly,14,0,32,[],0.8977047801017761
275,CoarseOnly,15,0,32,[],0.9786081314086914
275,CoarseOnly,16,0,32,[],1.0118017196655273
276,CoarseOnly,0,0,32,[],0.07783915847539902
276,CoarseOnly,1,0,32,[],0.1107187569141388
276,CoarseOnly,2,0,32,[],0.14690324664115906
276,CoarseOnly,3,0,32,[],0.24640600383281708
276,CoarseOnly,4,0,32,[],0.5107863545417786
276,CoarseOnly,5,0,32,[],0.7919308543205261
276,CoarseOnly,6,0,32,[],0.9734589457511902
276,CoarseOnly,7,0,32,[],1.1067876815795898
276,CoarseOnly,8,0,32,[],1.131525993347168
276,CoarseOnly,9,0,32,[],1.1032650470733643
276,CoarseOnly,10,0,32,[],1.07194983959198
276,CoarseOnly,11,0,32,[],1.05808424949646
276,CoarseOnly,12,0,32,[],1.0334933996200562
276,CoarseOnly,13,0,32,[],1.111060619354248
276,CoarseOnly,14,0,32,[],1.0889302492141724
276,CoarseOnly,15,0,32,[],1.0203744173049927
276,CoarseOnly,16,0,32,[],1.0388141870498657
277,CoarseOnly,0,0,32,[],0.07741955667734146
277,CoarseOnly,1,0,32,[],0.10908147692680359
277,CoarseOnly,2,0,32,[],0.13516490161418915
277,CoarseOnly,3,0,32,[],0.17821304500102997
277,CoarseOnly,4,0,32,[],0.3378542363643646
277,CoarseOnly,5,0,32,[],0.6755572557449341
277,CoarseOnly,6,0,32,[],0.941347599029541
277,CoarseOnly,7,0,32,[],1.0096051692962646
277,CoarseOnly,8,0,32,[],1.0113325119018555
277,CoarseOnly,9,0,32,[],1.0178823471069336
277,CoarseOnly,10,0,32,[],1.0409698486328125
277,CoarseOnly,11,0,32,[],1.0766578912734985
277,CoarseOnly,12,0,32,[],1.1806493997573853
277,CoarseOnly,13,0,32,[],1.0861485004425049
277,CoarseOnly,14,0,32,[],1.0318902730941772
277,CoarseOnly,15,0,32,[],1.0736212730407715
277,CoarseOnly,16,0,32,[],1.0578900575637817
278,CoarseOnly,0,0,32,[],0.07752139866352081
278,CoarseOnly,1,0,32,[],0.10976018756628036
278,CoarseOnly,2,0,32,[],0.140529602766037
278,CoarseOnly,3,0,32,[],0.2100682407617569
278,CoarseOnly,4,0,32,[],0.42541590332984924
278,CoarseOnly,5,0,32,[],0.7232875227928162
278,CoarseOnly,6,0,32,[],0.935019314289093
278,CoarseOnly,7,0,32,[],1.0824096202850342
278,CoarseOnly,8,0,32,[],1.115275502204895
278,CoarseOnly,9,0,32,[],1.0941071510314941
278,CoarseOnly,10,0,32,[],1.0641226768493652
278,CoarseOnly,11,0,32,[],1.0787380933761597
278,CoarseOnly,12,0,32,[],1.036747932434082
278,CoarseOnly,13,0,32,[],1.1363039016723633
278,CoarseOnly,14,0,32,[],1.1852178573608398
278,CoarseOnly,15,0,32,[],1.1013894081115723
278,CoarseOnly,16,0,32,[],1.101067066192627
279,CoarseOnly,0,0,32,[],0.07754132896661758
279,CoarseOnly,1,0,32,[],0.10898315906524658
279,CoarseOnly,2,0,32,[],0.13276486098766327
279,CoarseOnly,3,0,32,[],0.15732432901859283
279,CoarseOnly,4,0,32,[],0.22968721389770508
279,CoarseOnly,5,0,32,[],0.4773407280445099
279,CoarseOnly,6,0,32,[],0.796478271484375
279,CoarseOnly,7,0,32,[],0.9463742971420288
279,CoarseOnly,8,0,32,[],0.9526878595352173
279,CoarseOnly,9,0,32,[],0.9422985315322876
279,CoarseOnly,10,0,32,[],0.9400516748428345
279,CoarseOnly,11,0,32,[],1.0056180953979492
279,CoarseOnly,12,0,32,[],1.008725643157959
279,CoarseOnly,13,0,32,[],1.0021734237670898
279,CoarseOnly,14,0,32,[],1.0542329549789429
279,CoarseOnly,15,0,32,[],1.0615555047988892
279,CoarseOnly,16,0,32,[],1.0341213941574097
280,CoarseOnly,0,0,32,[],0.07735220342874527
280,CoarseOnly,1,0,32,[],0.10891012847423553
280,CoarseOnly,2,0,32,[],0.13419115543365479
280,CoarseOnly,3,0,32,[],0.17051848769187927
280,CoarseOnly,4,0,32,[],0.30076420307159424
